"plant_id","usda_id","scientific_name","display_name","form","popularity_rating","price_rating","color_red","color_orange","color_yellow","color_green","color_blue","color_purple","color_pink","color_brown","color_white","bloom_start","bloom_end","height_min","height_max","flood_tolerant","drought_tolerant","road_salt_tolerant","sun_full","sun_partial","sun_shade","moisture_wet","moisture_med","moisture_dry","space_min","space_max","soil_pref","soil_ph","benefits_pollinators","benefits_butterflies","benefits_hummingbirds","benefits_birds","deer_resistant","warnings","pos_base","pos_slope","pos_margin","image","description"
"89","LILI","Liatris ligulistylis","Meadow Blazing Star","Forb",1,2,False,False,False,False,False,True,False,False,False,7,9,"30","60",False,True,False,True,False,False,False,True,False,"12","24","Sandy","Alkaline",True,True,True,True,True,NULL,False,True,False,NULL,NULL
"90","LIPY","Liatris pycnostachya","Prairie Blazing Star","Forb",4,2,False,False,False,False,False,True,False,False,False,7,9,"24","48",False,True,False,True,False,False,False,True,False,"12","18","Rocky, Sandy, Sandy Loam, Loam, Clay",NULL,True,True,True,True,True,NULL,False,True,False,NULL,NULL
"91","LISP","Liatris spicata","Dense Blazing Star","Forb",5,2,False,False,False,False,False,True,False,False,False,7,8,"24","60",True,False,False,True,False,False,True,True,False,"12","24","Sandy",NULL,True,True,True,True,True,NULL,True,True,False,NULL,NULL
"92","LOCA2","Lobelia cardinalis","Cardinal Flower","Forb",4,2,True,False,False,False,False,False,False,False,False,7,9,"24","48",True,True,False,True,True,False,True,True,False,"12","18","Sandy, Sandy Loam, Loam, Clay Loam, Clay",NULL,True,True,True,True,True,"Toxic in large quantities",True,False,False,NULL,NULL
"93","LOSI","Lobelia siphilitica","Great Blue Lobelia","Forb",5,2,False,False,False,False,True,False,False,False,False,8,9,"24","36",True,False,False,True,True,True,True,True,False,"12","18","Clay, Loam, Sandy",NULL,True,True,True,True,True,"Toxic in large quantities",True,True,False,NULL,NULL
"94","LYCI","Lysimachia ciliata","Fringed Loosestrife","Forb",1,1,False,False,True,False,False,False,False,False,False,6,8,"12","36",True,False,False,True,True,True,True,True,False,"24","36",NULL,NULL,True,False,False,False,False,NULL,True,False,False,NULL,NULL
"95","MARA7","Maianthemum racemosum","False Solomon's  Seal","Forb",1,2,False,False,False,False,False,False,False,False,True,4,6,"12","24",False,False,False,False,True,True,False,True,False,"8","12",NULL,NULL,True,False,False,True,True,NULL,False,True,False,NULL,NULL
"96","MEVI3","Mertensia virginica","Virginia Bluebells","Forb",3,3,False,False,False,False,True,True,False,False,False,4,5,"12","24",True,False,False,False,True,True,False,True,False,"12","24",NULL,NULL,True,True,True,False,True,NULL,True,True,False,NULL,NULL
"97","MIRI","Mimulus ringens","Allegheny Monkeyflower","Forb",2,2,False,False,False,False,True,True,False,False,False,6,9,"12","36",False,False,False,True,True,False,True,False,False,"12","24","Loam",NULL,True,True,True,True,True,NULL,True,False,False,NULL,NULL
"98","MOBR2","Monarda bradburiana","Eastern Beebalm","Forb",2,3,False,False,False,False,False,True,True,False,False,5,7,"18","24",False,False,True,True,False,False,False,True,False,"12","18","Clay, Loam",NULL,True,True,True,True,True,NULL,True,False,False,NULL,NULL
"99","MOFI","Monarda fistulosa","Wild Bergamot","Forb",4,2,False,False,False,False,False,True,True,False,False,7,9,"24","48",False,True,True,True,True,False,False,True,True,"24","36","Sandy, Clay","Acid, Alkaline",True,True,True,True,True,NULL,True,False,False,NULL,NULL
"100","OLRI","Oligoneuron rigidum","Stiff Goldenrod","Forb",2,2,False,False,True,False,False,False,False,False,False,8,10,"24","48",False,False,True,True,False,False,False,True,True,"12","24",NULL,NULL,True,True,False,True,True,NULL,False,True,True,NULL,NULL
"101","ONSE","Onoclea sensibilis","Sensitive Fern","Fern",2,3,False,False,False,True,False,False,False,False,False,NULL,NULL,"12","36",False,False,False,False,True,True,True,True,False,"8","18","Sandy, Sandy Loam, Loam",NULL,False,False,False,True,True,NULL,True,False,False,NULL,NULL
